2021-12-15 13:13:37,143 DEBUG     decorators Function <send> called from function <send_message> (line 145) with arguments (<socket.socket fd=108, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53550), raddr=('127.0.0.1', 7777)>, {'action': 'message', 'time': 1639563217.143687, 'account_name': 'user-3', 'destination': 'user-2', 'message_text': 'Cool! We have a deal!'})
2021-12-15 13:13:38,148 DEBUG     decorators Function <process_response> called from function <listen> (line 110) with arguments ({'action': 'message', 'time': 1639563217.143687, 'account_name': 'user-3', 'destination': 'user-2', 'message_text': 'Cool! We have a deal!'},)
2021-12-15 13:13:38,148 DEBUG     decorators Function <message_handler> called from function <process_response> (line 170) with arguments ({'action': 'message', 'time': 1639563217.143687, 'account_name': 'user-3', 'destination': 'user-2', 'message_text': 'Cool! We have a deal!'},)
2021-12-15 13:13:38,149 DEBUG     decorators Function <receive> called from function <listen> (line 100) with arguments (<socket.socket fd=356, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53551), raddr=('127.0.0.1', 7777)>,)
2021-12-15 13:14:03,488 DEBUG     decorators Function <send> called from function <send_message> (line 145) with arguments (<socket.socket fd=396, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53549), raddr=('127.0.0.1', 7777)>, {'action': 'message', 'time': 1639563243.4880292, 'account_name': 'user-4', 'destination': 'user-2', 'message_text': 'Yes! Yes! Yeeeesss! At last!'})
2021-12-15 13:14:04,252 DEBUG     decorators Function <process_response> called from function <listen> (line 110) with arguments ({'action': 'message', 'time': 1639563243.4880292, 'account_name': 'user-4', 'destination': 'user-2', 'message_text': 'Yes! Yes! Yeeeesss! At last!'},)
2021-12-15 13:14:04,252 DEBUG     decorators Function <message_handler> called from function <process_response> (line 170) with arguments ({'action': 'message', 'time': 1639563243.4880292, 'account_name': 'user-4', 'destination': 'user-2', 'message_text': 'Yes! Yes! Yeeeesss! At last!'},)
2021-12-15 13:14:04,253 DEBUG     decorators Function <receive> called from function <listen> (line 100) with arguments (<socket.socket fd=356, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53551), raddr=('127.0.0.1', 7777)>,)
2021-12-15 13:14:27,446 DEBUG     decorators Function <send> called from function <send_message> (line 145) with arguments (<socket.socket fd=400, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53548), raddr=('127.0.0.1', 7777)>, {'action': 'message', 'time': 1639563267.4466052, 'account_name': 'user-1', 'destination': 'user-2', 'message_text': 'Name the place! :-)'})
2021-12-15 13:14:28,387 DEBUG     decorators Function <process_response> called from function <listen> (line 110) with arguments ({'action': 'message', 'time': 1639563267.4466052, 'account_name': 'user-1', 'destination': 'user-2', 'message_text': 'Name the place! :-)'},)
2021-12-15 13:14:28,387 DEBUG     decorators Function <message_handler> called from function <process_response> (line 170) with arguments ({'action': 'message', 'time': 1639563267.4466052, 'account_name': 'user-1', 'destination': 'user-2', 'message_text': 'Name the place! :-)'},)
2021-12-15 13:14:28,388 DEBUG     decorators Function <receive> called from function <listen> (line 100) with arguments (<socket.socket fd=356, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53551), raddr=('127.0.0.1', 7777)>,)
