2022-01-19 15:19:55,998 DEBUG     decorators Function <response> called from function <presence> (line 374) with arguments (<socket.socket fd=1324, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50996)>, 200)
2022-01-19 15:19:55,998 INFO      decorators 200: 
2022-01-19 15:22:01,021 DEBUG     server Application is started
2022-01-19 15:22:01,044 INFO      messenger Server created and will be listen to port 7777
2022-01-19 15:22:07,529 DEBUG     decorators Function <process_request> called from function <process_requests> (line 343) with arguments (<socket.socket fd=1328, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51354)>, {'action': 'presence', 'time': 1642594926.5176036, 'type': 'status', 'user': {'account_name': 'John', 'status': 'Online'}}, [<socket.socket fd=1328, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51354)>])
2022-01-19 15:22:07,529 DEBUG     decorators Function <presence> called from function <process_request> (line 361) with arguments (<socket.socket fd=1328, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51354)>, {'action': 'presence', 'time': 1642594926.5176036, 'type': 'status', 'user': {'account_name': 'John', 'status': 'Online'}})
2022-01-19 15:22:07,549 INFO      messenger User John logged in
2022-01-19 15:22:07,549 DEBUG     decorators Function <response> called from function <presence> (line 378) with arguments (<socket.socket fd=1328, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 51354)>, 200)
2022-01-19 15:22:07,549 INFO      decorators 200: 
2022-01-19 15:24:08,384 DEBUG     server Application is started
2022-01-19 15:24:08,408 INFO      messenger Server created and will be listen to port 7777
2022-01-19 15:24:11,834 DEBUG     decorators Function <process_request> called from function <process_requests> (line 343) with arguments (<socket.socket fd=1060, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50898)>, {'action': 'presence', 'time': 1642595051.8346012, 'type': 'status', 'user': {'account_name': 'John', 'status': 'Online'}}, [<socket.socket fd=1060, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50898)>])
2022-01-19 15:24:11,835 DEBUG     decorators Function <presence> called from function <process_request> (line 361) with arguments (<socket.socket fd=1060, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50898)>, {'action': 'presence', 'time': 1642595051.8346012, 'type': 'status', 'user': {'account_name': 'John', 'status': 'Online'}})
